ID_QUART_HORA,DS_QUART_HORA,ID_MITJA_HORA,IND_HORES_POSSIBLES,ID_QH_I,ID_QH_F
1,00:00 a 00:15,1,0.25,0,15
2,00:15 a 00:30,1,0.25,15,30
3,00:30 a 00:45,2,0.25,30,45
4,00:45 a 01:00,2,0.25,45,100
5,01:00 a 01:15,3,0.25,100,115
6,01:15 a 01:30,3,0.25,115,130
7,01:30 a 01:45,4,0.25,130,145
8,01:45 a 02:00,4,0.25,145,200
9,02:00 a 02:15,5,0.25,200,215
10,02:15 a 02:30,5,0.25,215,230
11,02:30 a 02:45,6,0.25,230,245
12,02:45 a 03:00,6,0.25,245,300
13,03:00 a 03:15,7,0.25,300,315
14,03:15 a 03:30,7,0.25,315,330
15,03:30 a 03:45,8,0.25,330,345
16,03:45 a 04:00,8,0.25,345,400
17,04:00 a 04:15,9,0.25,400,415
18,04:15 a 04:30,9,0.25,415,430
19,04:30 a 04:45,10,0.25,430,445
20,04:45 a 05:00,10,0.25,445,500
21,05:00 a 05:15,11,0.25,500,515
22,05:15 a 05:30,11,0.25,515,530
23,05:30 a 05:45,12,0.25,530,545
24,05:45 a 06:00,12,0.25,545,600
25,06:00 a 06:15,13,0.25,600,615
26,06:15 a 06:30,13,0.25,615,630
27,06:30 a 06:45,14,0.25,630,645
28,06:45 a 07:00,14,0.25,645,700
29,07:00 a 07:15,15,0.25,700,715
30,07:15 a 07:30,15,0.25,715,730
31,07:30 a 07:45,16,0.25,730,745
32,07:45 a 08:00,16,0.25,745,800
33,08:00 a 08:15,17,0.25,800,815
34,08:15 a 08:30,17,0.25,815,830
35,08:30 a 08:45,18,0.25,830,845
36,08:45 a 09:00,18,0.25,845,900
37,09:00 a 09:15,19,0.25,900,915
38,09:15 a 09:30,19,0.25,915,930
39,09:30 a 09:45,20,0.25,930,945
40,09:45 a 10:00,20,0.25,945,1000
41,10:00 a 10:15,21,0.25,1000,1015
42,10:15 a 10:30,21,0.25,1015,1030
43,10:30 a 10:45,22,0.25,1030,1045
44,10:45 a 11:00,22,0.25,1045,1100
45,11:00 a 11:15,23,0.25,1100,1115
46,11:15 a 11:30,23,0.25,1115,1130
47,11:30 a 11:45,24,0.25,1130,1145
48,11:45 a 12:00,24,0.25,1145,1200
49,12:00 a 12:15,25,0.25,1200,1215
50,12:15 a 12:30,25,0.25,1215,1230
51,12:30 a 12:45,26,0.25,1230,1245
52,12:45 a 13:00,26,0.25,1245,1300
53,13:00 a 13:15,27,0.25,1300,1315
54,13:15 a 13:30,27,0.25,1315,1330
55,13:30 a 13:45,28,0.25,1330,1345
56,13:45 a 14:00,28,0.25,1345,1400
57,14:00 a 14:15,29,0.25,1400,1415
58,14:15 a 14:30,29,0.25,1415,1430
59,14:30 a 14:45,30,0.25,1430,1445
60,14:45 a 15:00,30,0.25,1445,1500
61,15:00 a 15:15,31,0.25,1500,1515
62,15:15 a 15:30,31,0.25,1515,1530
63,15:30 a 15:45,32,0.25,1530,1545
64,15:45 a 16:00,32,0.25,1545,1600
65,16:00 a 16:15,33,0.25,1600,1615
66,16:15 a 16:30,33,0.25,1615,1630
67,16:30 a 16:45,34,0.25,1630,1645
68,16:45 a 17:00,34,0.25,1645,1700
69,17:00 a 17:15,35,0.25,1700,1715
70,17:15 a 17:30,35,0.25,1715,1730
71,17:30 a 17:45,36,0.25,1730,1745
72,17:45 a 18:00,36,0.25,1745,1800
73,18:00 a 18:15,37,0.25,1800,1815
74,18:15 a 18:30,37,0.25,1815,1830
75,18:30 a 18:45,38,0.25,1830,1845
76,18:45 a 19:00,38,0.25,1845,1900
77,19:00 a 19:15,39,0.25,1900,1915
78,19:15 a 19:30,39,0.25,1915,1930
79,19:30 a 19:45,40,0.25,1930,1945
80,19:45 a 20:00,40,0.25,1945,2000
81,20:00 a 20:15,41,0.25,2000,2015
82,20:15 a 20:30,41,0.25,2015,2030
83,20:30 a 20:45,42,0.25,2030,2045
84,20:45 a 21:00,42,0.25,2045,2100
85,21:00 a 21:15,43,0.25,2100,2115
86,21:15 a 21:30,43,0.25,2115,2130
87,21:30 a 21:45,44,0.25,2130,2145
88,21:45 a 22:00,44,0.25,2145,2200
89,22:00 a 22:15,45,0.25,2200,2215
90,22:15 a 22:30,45,0.25,2215,2230
91,22:30 a 22:45,46,0.25,2230,2245
92,22:45 a 23:00,46,0.25,2245,2300
93,23:00 a 23:15,47,0.25,2300,2315
94,23:15 a 23:30,47,0.25,2315,2330
95,23:30 a 23:45,48,0.25,2330,2345
96,23:45 a 00:00,48,0.25,2345,0
-1,Sense assignar,-1,0.0,-1,-1
