ID_MITJA_HORA,DS_MITJA_HORA
1,00:00 a 00:30
2,00:30 a 01:00
3,01:00 a 01:30
4,01:30 a 02:00
5,02:00 a 02:30
6,02:30 a 03:00
7,03:00 a 03:30
8,03:30 a 04:00
9,04:00 a 04:30
10,04:30 a 05:00
11,05:00 a 05:30
12,05:30 a 06:00
13,06:00 a 06:30
14,06:30 a 07:00
15,07:00 a 07:30
16,07:30 a 08:00
17,08:00 a 08:30
18,08:30 a 09:00
19,09:00 a 09:30
20,09:30 a 10:00
21,10:00 a 10:30
22,10:30 a 11:00
23,11:00 a 11:30
24,11:30 a 12:00
25,12:00 a 12:30
26,12:30 a 13:00
27,13:00 a 13:30
28,13:30 a 14:00
29,14:00 a 14:30
30,14:30 a 15:00
31,15:00 a 15:30
32,15:30 a 16:00
33,16:00 a 16:30
34,16:30 a 17:00
35,17:00 a 17:30
36,17:30 a 18:00
37,18:00 a 18:30
38,18:30 a 19:00
39,19:00 a 19:30
40,19:30 a 20:00
41,20:00 a 20:30
42,20:30 a 21:00
43,21:00 a 21:30
44,21:30 a 22:00
45,22:00 a 22:30
46,22:30 a 23:00
47,23:00 a 23:30
48,23:30 a 00:00
-1,Sense assignar
